id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
259	dataset/jazz1350/Danny Boy.xml	Danny Boy	Danny Boy [jazz1350]	jazz1350	[traditional]			C major	C	major	ABC	32.0	4/4	0.0	Medium Swing	d62b3bf6-226f-3580-ab1c-7676aa2d93a9	Q1164523	mc0002429943	https://en.wikipedia.org/wiki/Danny_Boy	Frederic WeatherlyBoys song	Frederick Edward Weatherly
260	dataset/jazz1350/Darn That Dream.xml	Darn That Dream	Darn That Dream [jazz1350]	jazz1350	Jimmy Van Heusen	1939.0	1939.0	G major	G	major	AABA	32.0	4/4	1.0	Ballad	dc44da88-6352-336a-ae81-2abeb81cc40a	Q430948		https://en.wikipedia.org/wiki/Darn_That_Dream	song	Eddie DeLange
261	dataset/jazz1350/Dat Dere.xml	Dat Dere	Dat Dere [jazz1350]	jazz1350	Bobby Timmons	1960.0	1960.0	C minor	C	minor	AABA	32.0	4/4	-3.0	Slow Swing	eb3471c5-f8ec-305c-b67f-25ca5c0e5645	Q91269050			"lyrical adaptation of ""Dat Dere"" with lyrics by Oscar Brown Jr."	Oscar Brown Jr.
262	dataset/jazz1350/Day By Day.xml	Day By Day	Day By Day [jazz1350]	jazz1350	Axel Stordahl	1945.0	1945.0	G major	G	major	ABAB	32.0	4/4	1.0	Medium Swing	f2ae16d9-7239-3f26-b32f-a954b18183f6	Q5242898	mc0002264331	https://en.wikipedia.org/wiki/Day_by_Day_(1945_song)	original song composed by Axel Stodahl and Paul Weston, lyrics by Sammy Cahn; first recorded by Frank Sinatra	Sammy Cahn
262	dataset/jazz1350/Day By Day.xml	Day By Day	Day By Day [jazz1350]	jazz1350	Paul Weston	1945.0	1945.0	G major	G	major	ABAB	32.0	4/4	1.0	Medium Swing	f2ae16d9-7239-3f26-b32f-a954b18183f6	Q5242898	mc0002264331	https://en.wikipedia.org/wiki/Day_by_Day_(1945_song)	original song composed by Axel Stodahl and Paul Weston, lyrics by Sammy Cahn; first recorded by Frank Sinatra	Sammy Cahn
263	dataset/jazz1350/Day Dream.xml	Day Dream	Day Dream [jazz1350]	jazz1350	Billy Strayhorn	1940.0	1940.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	482045c7-b6aa-36ad-941d-aac0403f4c98	Q1844187		https://en.wikipedia.org/wiki/Day_Dream	song composed by Duke Ellington performed by Jo Stafford	John Latouche
263	dataset/jazz1350/Day Dream.xml	Day Dream	Day Dream [jazz1350]	jazz1350	Duke Ellington	1940.0	1940.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	482045c7-b6aa-36ad-941d-aac0403f4c98	Q1844187		https://en.wikipedia.org/wiki/Day_Dream	song composed by Duke Ellington performed by Jo Stafford	John Latouche
264	dataset/jazz1350/Day Dreaming.xml	Day Dreaming	Day Dreaming [jazz1350]	jazz1350	Jerome Kern			Bb major	Bb	major	ABAC	32.0	4/4	-2.0	Ballad						
265	dataset/jazz1350/Daybreak.xml	Daybreak	Daybreak [jazz1350]	jazz1350	Ferde Grofé	1925.0	1925.0	Eb major	Eb	major	AB	24.0	4/4	-3.0	Medium Swing	2ab93fb0-0863-4a6a-967f-b3cd544895c9	Q96638395	mc0002580318		"lyrical adaptation by Harold Adamson, based on ""Mississippi Suite"" composed by Ferde Grofé"	Harold Adamson
266	dataset/jazz1350/Days And Nights Waiting.xml	Days And Nights Waiting	Days And Nights Waiting [jazz1350]	jazz1350	Keith Jarrett	1967.0	1967.0	D major	D	major	AABA	32.0	4/4	2.0	Even 8ths	b1d6dc1f-081b-47f0-8b7b-66931a1ea40d					
267	dataset/jazz1350/Days Of Wine And Roses.xml	Days Of Wine And Roses	Days Of Wine And Roses [jazz1350]	jazz1350	Henry Mancini	1962.0	1962.0	F major	F	major	ABAC	32.0	4/4	-1.0	Medium Swing	477cdbb7-f809-351b-918f-e59b224b5c36	Q753817	mc0002379870	https://en.wikipedia.org/wiki/Days_of_Wine_and_Roses_(song)	"original song composed by Henry Mancini, lyrics by Johnny Mercer; from the 1962 film ""Days of Wine and Roses"""	Johnny Mercer
268	dataset/jazz1350/Dear Lord.xml	Dear Lord	Dear Lord [jazz1350]	jazz1350	John Coltrane	1965.0	1965.0	D major	D	major	AB	64.0	4/4	2.0	Medium Swing	7691eb8b-7a8b-335e-9421-b1286766ae1b					
269	dataset/jazz1350/Dear Old Stockholm.xml	Dear Old Stockholm	Dear Old Stockholm [jazz1350]	jazz1350	[traditional]	1800.0	1900.0	D minor	D	minor	AABC	43.0	4/4	-1.0	Medium Swing	0e29de59-030d-4e0f-b30f-529eba30435c	Q404991	mc0002400617	https://en.wikipedia.org/wiki/Dear_Old_Stockholm	Swedish song	
270	dataset/jazz1350/Dearly Beloved.xml	Dearly Beloved	Dearly Beloved [jazz1350]	jazz1350	Jerome Kern	1942.0	1942.0	C major	C	major	ABAC	32.0	4/4	0.0	Medium Swing	e680f429-894e-459e-8e9b-1dd8134a5fc4					Johnny Mercer
271	dataset/jazz1350/Decision.xml	Decision	Decision [jazz1350]	jazz1350	Sonny Rollins	1957.0	1957.0	F minor	F	minor	A	13.0	4/4	-4.0	Medium Swing						
272	dataset/jazz1350/Dedicated To You.xml	Dedicated To You	Dedicated To You [jazz1350]	jazz1350	Hy Zaret	1936.0	1936.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Ballad	582c7a3b-dc06-4000-b9f5-3138bd2abc32					
272	dataset/jazz1350/Dedicated To You.xml	Dedicated To You	Dedicated To You [jazz1350]	jazz1350	Sammy Cahn	1936.0	1936.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Ballad	582c7a3b-dc06-4000-b9f5-3138bd2abc32					
272	dataset/jazz1350/Dedicated To You.xml	Dedicated To You	Dedicated To You [jazz1350]	jazz1350	Saul Chaplin	1936.0	1936.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Ballad	582c7a3b-dc06-4000-b9f5-3138bd2abc32					
273	dataset/jazz1350/Deed I Do.xml	Deed I Do	Deed I Do [jazz1350]	jazz1350	Fred Rose	1926.0	1926.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	79f9c85a-53ce-4cb2-b46a-5329d099fc78	Q4540458		https://en.wikipedia.org/wiki/%27Deed_I_Do	original song written and composed by Fred Rose (music) and Walter Hirsch (lyrics); jazz standard	Walter Hirsch
274	dataset/jazz1350/Deep Purple.xml	Deep Purple	Deep Purple [jazz1350]	jazz1350	Peter de Rose	1957.0	1957.0	F major	F	major	AB	32.0	4/4	-1.0	Medium Swing	72b8b55b-38e2-3c1f-a2b1-acc3a101068d	Q3021136		https://en.wikipedia.org/wiki/Deep_Purple_(song)	song by Peter DeRose	Mitchell Parish
275	dataset/jazz1350/Deluge.xml	Deluge	Deluge [jazz1350]	jazz1350	Wayne Shorter	1964.0	1964.0	Eb minor	Eb	minor	AB	16.0	4/4	-6.0	Medium Swing	4dfed549-936e-4a3c-a3d4-cb3a6362e8bd					
276	dataset/jazz1350/Desafinado (Original).xml	Desafinado (Original)	Desafinado (Original) [jazz1350]	jazz1350	Antônio Carlos Jobim	1959.0	1959.0	E major	E	major	AABA	68.0	4/4	4.0	Bossa Nova	807b8169-cb39-30c7-a9e2-d8491fc97651	Q277804	mc0002358233	https://en.wikipedia.org/wiki/Desafinado	original bossa nova song composed by Antônio Carlos Jobim, lyrics by Newton Mendonça	Newton Mendonça
277	dataset/jazz1350/Desafinado.xml	Desafinado	Desafinado [jazz1350]	jazz1350	Antônio Carlos Jobim	1959.0	1959.0	F major	F	major	AABA	68.0	4/4	-1.0	Bossa Nova	807b8169-cb39-30c7-a9e2-d8491fc97651	Q277804	mc0002358233	https://en.wikipedia.org/wiki/Desafinado	original bossa nova song composed by Antônio Carlos Jobim, lyrics by Newton Mendonça	Newton Mendonça
278	dataset/jazz1350/Detour Ahead.xml	Detour Ahead	Detour Ahead [jazz1350]	jazz1350	Herb Ellis	1948.0	1948.0	C major	C	major	AABA	34.0	4/4	0.0	Ballad	b863dcdb-556c-3f82-94c2-8748f890dd88	Q5265789		https://en.wikipedia.org/wiki/Detour_Ahead		
278	dataset/jazz1350/Detour Ahead.xml	Detour Ahead	Detour Ahead [jazz1350]	jazz1350	Johnny Frigo	1948.0	1948.0	C major	C	major	AABA	34.0	4/4	0.0	Ballad	b863dcdb-556c-3f82-94c2-8748f890dd88	Q5265789		https://en.wikipedia.org/wiki/Detour_Ahead		
278	dataset/jazz1350/Detour Ahead.xml	Detour Ahead	Detour Ahead [jazz1350]	jazz1350	Lou Carter	1948.0	1948.0	C major	C	major	AABA	34.0	4/4	0.0	Ballad	b863dcdb-556c-3f82-94c2-8748f890dd88	Q5265789		https://en.wikipedia.org/wiki/Detour_Ahead		
279	dataset/jazz1350/Devil May Care.xml	Devil May Care	Devil May Care [jazz1350]	jazz1350	Bob Dorough	1956.0	1956.0	G minor	G	minor	ABC	44.0	4/4	-2.0	Medium Up Swing	9816ea2d-5bc7-411a-8e32-6550cb9ed928					
280	dataset/jazz1350/Dewey Square.xml	Dewey Square	Dewey Square [jazz1350]	jazz1350	Charlie Parker	1958.0	1958.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Up Swing	574ce6ff-53d4-30eb-adc6-2df888760afe					
281	dataset/jazz1350/Dexterity.xml	Dexterity	Dexterity [jazz1350]	jazz1350	Charlie Parker	1960.0	1960.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Up Swing	e57ec353-a585-4aff-9c7a-5014b893f03e					
282	dataset/jazz1350/Diane.xml	Diane	Diane [jazz1350]	jazz1350	Ernö Rapée			Eb major	Eb	major	ABAB	32.0	4/4	-3.0	Medium Swing	c85a5a4c-6bde-420b-b372-965be052a53c	Q5271384		https://en.wikipedia.org/wiki/Diane_(Erno_Rapee_and_Lew_Pollack_song)	1927 song by Ernö Rapée and Lew Pollack	Lew Pollack
283	dataset/jazz1350/Dig.xml	Dig	Dig [jazz1350]	jazz1350	Miles Davis	1964.0	1964.0	Ab major	Ab	major	ABC	32.0	4/4	-4.0	Up Tempo Swing	6207b4cc-9685-37e1-9b5a-372034f951f6					
284	dataset/jazz1350/Dinah.xml	Dinah	Dinah [jazz1350]	jazz1350	Harry Akst	1925.0	1925.0	G major	G	major	AABA	32.0	4/4	1.0	Medium Up Swing	7f3a3551-4c29-30a4-af3c-bd379042c6d7	Q3359423		https://en.wikipedia.org/wiki/Dinah_(song)	song	Joe Young
284	dataset/jazz1350/Dinah.xml	Dinah	Dinah [jazz1350]	jazz1350	Sam M. Lewis	1925.0	1925.0	G major	G	major	AABA	32.0	4/4	1.0	Medium Up Swing	7f3a3551-4c29-30a4-af3c-bd379042c6d7	Q3359423		https://en.wikipedia.org/wiki/Dinah_(song)	song	Joe Young
285	dataset/jazz1350/Dindi.xml	Dindi	Dindi [jazz1350]	jazz1350	Antônio Carlos Jobim	1965.0	1965.0	Eb major	Eb	major	verseAABA	40.0	4/4	-3.0	Bossa Nova	8f0f1d3f-2a91-354c-ae36-25e891b36373					Aloysio de Oliveira
286	dataset/jazz1350/Diverse.xml	Diverse	Diverse [jazz1350]	jazz1350	Charlie Parker			Bb minor	Bb	minor	AABA	32.0	4/4	-5.0	Up Tempo Swing						
287	dataset/jazz1350/Django.xml	Django	Django [jazz1350]	jazz1350	John Lewis	1955.0	1955.0	F minor	F	minor	verseAABC	52.0	4/4	-4.0	Medium Swing	f50915eb-71d9-3b93-9338-3dd71d37cb9e	Q1232025		https://en.wikipedia.org/wiki/Django_(composition)	song	
288	dataset/jazz1350/Do Nothin' Til You Hear From Me.xml	Do Nothin' Til You Hear From Me	Do Nothin' Til You Hear From Me [jazz1350]	jazz1350	Duke Ellington	1943.0	1943.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Swing	93b1949f-afc1-3b5d-9576-9349c91ec626	Q931128		https://en.wikipedia.org/wiki/Do_Nothing_till_You_Hear_from_Me	song	Bob Russell
289	dataset/jazz1350/Do You Know What It Means.xml	Do You Know What It Means	Do You Know What It Means [jazz1350]	jazz1350	Louis Alter	1946.0	1946.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	220b07d0-f811-33af-b894-53dd025cbee9	Q5286339		https://en.wikipedia.org/wiki/Do_You_Know_What_It_Means_to_Miss_New_Orleans%3F	song written by Louis Alter and Eddie DeLange	Cathrine Legardh, Eddie DeLange
290	dataset/jazz1350/Dolores.xml	Dolores	Dolores [jazz1350]	jazz1350	Wayne Shorter	1967.0	1967.0	C# major	C#	major	AABAA	38.0	4/4	-5.0	Up Tempo Swing	32e109b8-f887-3929-94ea-e67d3fc3b7c6					
291	dataset/jazz1350/Dolphin Dance.xml	Dolphin Dance	Dolphin Dance [jazz1350]	jazz1350	Herbie Hancock	1966.0	1966.0	Eb major	Eb	major	introABCD	38.0	4/4	-3.0	Medium Swing	f13bec1e-bae1-31e1-9dbf-99af051baaf2					
292	dataset/jazz1350/Dolphin, The.xml	Dolphin, The	Dolphin, The [jazz1350]	jazz1350	Luiz Eça			E major	E	major	ABCA	42.0	4/4	4.0	Bossa Nova	55e913f5-cd64-4d17-b1a5-5c11889232c9					Reuben Fisher
293	dataset/jazz1350/Domingo.xml	Domingo	Domingo [jazz1350]	jazz1350	Benny Golson			C minor	C	minor	AAB	41.0	4/4	-3.0	Up Tempo Swing	926130ae-dd8e-3b77-90f0-e59388d04286					
294	dataset/jazz1350/Don't Be That Way.xml	Don't Be That Way	Don't Be That Way [jazz1350]	jazz1350	Benny Goodman			Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Swing	7db89a9a-2153-3fd3-8c54-31502e5f1dd3	Q1242213			original song composed by Edgar Sampson, Benny Goodman, lyrics by Mitchell Parish	Mitchell Parish
294	dataset/jazz1350/Don't Be That Way.xml	Don't Be That Way	Don't Be That Way [jazz1350]	jazz1350	Edgar Sampson			Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Swing	7db89a9a-2153-3fd3-8c54-31502e5f1dd3	Q1242213			original song composed by Edgar Sampson, Benny Goodman, lyrics by Mitchell Parish	Mitchell Parish
295	dataset/jazz1350/Don't Blame Me.xml	Don't Blame Me	Don't Blame Me [jazz1350]	jazz1350	Jimmy McHugh	1932.0	1932.0	C major	C	major	AABA	32.0	4/4	0.0	Ballad	90ca4cb5-4590-384a-b6f1-1bf5a6c0e888					Dorothy Fields
296	dataset/jazz1350/Don't Explain.xml	Don't Explain	Don't Explain [jazz1350]	jazz1350	Arthur Herzog, Jr.	1946.0	1946.0	D minor	D	minor	AABA	32.0	4/4	-1.0	Ballad	8752f8f6-fb7b-3edf-94af-cefe471a1143	Q5291574		https://en.wikipedia.org/wiki/Don%27t_Explain_(song)	song written by Billie Holiday and Arthur Herzog Jr.	
296	dataset/jazz1350/Don't Explain.xml	Don't Explain	Don't Explain [jazz1350]	jazz1350	Billie Holiday	1946.0	1946.0	D minor	D	minor	AABA	32.0	4/4	-1.0	Ballad	8752f8f6-fb7b-3edf-94af-cefe471a1143	Q5291574		https://en.wikipedia.org/wiki/Don%27t_Explain_(song)	song written by Billie Holiday and Arthur Herzog Jr.	
297	dataset/jazz1350/Don't Fence Me In.xml	Don't Fence Me In	Don't Fence Me In [jazz1350]	jazz1350	Cole Porter	1934.0	1934.0	F major	F	major	ABCD	32.0	4/4	-1.0	Medium Swing	f3f9e2ca-e1e3-3778-abec-4bb5659c8fb5	Q3435464		https://en.wikipedia.org/wiki/Don%27t_Fence_Me_In_(song)	popular American song written in 1934, with music by Cole Porter and lyrics by Robert Fletcher and Cole Porter	Cole Porter, Robert Fletcher
298	dataset/jazz1350/Don't Get Around Much Anymore.xml	Don't Get Around Much Anymore	Don't Get Around Much Anymore [jazz1350]	jazz1350	Duke Ellington	1942.0	1942.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	57d2f184-b33c-3ad1-92a1-870a5caa1fe1	Q1242262		https://en.wikipedia.org/wiki/Don%27t_Get_Around_Much_Anymore	"lyrical adaptation of ""Never No Lament"" by Duke Ellington, lyrics by Bob Russell"	Bob Russell
299	dataset/jazz1350/Don't Go To Strangers.xml	Don't Go To Strangers	Don't Go To Strangers [jazz1350]	jazz1350	Arthur Kent			Bb major	Bb	major	AABA	32.0	4/4	-2.0	Ballad	6b2e645a-3b48-4a44-8485-995c1684e4a5					Redd Evans
299	dataset/jazz1350/Don't Go To Strangers.xml	Don't Go To Strangers	Don't Go To Strangers [jazz1350]	jazz1350	David Mann			Bb major	Bb	major	AABA	32.0	4/4	-2.0	Ballad	6b2e645a-3b48-4a44-8485-995c1684e4a5					Redd Evans
300	dataset/jazz1350/Don't Misunderstand.xml	Don't Misunderstand	Don't Misunderstand [jazz1350]	jazz1350	Gordon Parks			F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	a0081d90-68c3-4931-a70b-7a8b5320e91d					Gordon Parks
301	dataset/jazz1350/Don't Take Your Love From Me.xml	Don't Take Your Love From Me	Don't Take Your Love From Me [jazz1350]	jazz1350	Henry Nemo	1941.0	1941.0	C major	C	major	ABAC	32.0	4/4	0.0	Ballad	0040e221-32dd-491a-ae8b-4116cd68fcd7	Q5291963		https://en.wikipedia.org/wiki/Don%27t_Take_Your_Love_from_Me	original song written and composed by Henry Nemo	Henry Nemo
302	dataset/jazz1350/Don't Worry 'Bout Me.xml	Don't Worry 'Bout Me	Don't Worry 'Bout Me [jazz1350]	jazz1350	Rube Bloom	1939.0	1939.0	Ab major	Ab	major	AB	32.0	4/4	-4.0	Ballad	e57eecd5-f29d-3601-9217-3cb72bc7e94b	Q5292060		https://en.wikipedia.org/wiki/Don%27t_Worry_%27bout_Me	original song composed by Rube Bllom, lyrics by Ted Koehler	Ted Koehler
303	dataset/jazz1350/Donna Lee.xml	Donna Lee	Donna Lee [jazz1350]	jazz1350	Charlie Parker	1947.0	1947.0	Ab major	Ab	major	AB	32.0	4/4	-4.0	Up Tempo Swing	6b3e823f-070a-3a30-ba79-668f416ac56d					
303	dataset/jazz1350/Donna Lee.xml	Donna Lee	Donna Lee [jazz1350]	jazz1350	Miles Davis	1947.0	1947.0	Ab major	Ab	major	AB	32.0	4/4	-4.0	Up Tempo Swing	6b3e823f-070a-3a30-ba79-668f416ac56d					
304	dataset/jazz1350/Down By The Riverside.xml	Down By The Riverside	Down By The Riverside [jazz1350]	jazz1350	[traditional]			F major	F	major	AB	32.0	4/4	-1.0	Medium Swing	23a75a49-0524-4dd3-85b5-16852f35ff52	Q4068801		https://en.wikipedia.org/wiki/Down_by_the_Riverside	public domain spiritual	traditional
305	dataset/jazz1350/Down For Double.xml	Down For Double	Down For Double [jazz1350]	jazz1350	Freddie Green	1941.0	1941.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Up Swing	d588de6c-e528-4fe1-a586-24a7a3a79c5e					
306	dataset/jazz1350/Down In The Depths.xml	Down In The Depths	Down In The Depths [jazz1350]	jazz1350	Cole Porter	1936.0	1936.0	D major	D	major	AAB	54.0	4/4	2.0	Medium Swing	70854469-558d-40c1-bb7e-6c8efc126ced	Q5302964		https://en.wikipedia.org/wiki/Down_in_the_Depths_(On_the_Ninetieth_Floor)	song performed by Lisa Stansfield	Cole Porter
307	dataset/jazz1350/Doxy.xml	Doxy	Doxy [jazz1350]	jazz1350	Sonny Rollins	1963.0	1963.0	Bb major	Bb	major	A	16.0	4/4	-2.0	Medium Swing	5643590b-280b-3954-b284-c06ce4a0c53b	Q1253490		https://en.wikipedia.org/wiki/Doxy_(song)	jazz composition by Sonny Rollins	
308	dataset/jazz1350/Dream A Little Dream Of Me.xml	Dream A Little Dream Of Me	Dream A Little Dream Of Me [jazz1350]	jazz1350	Fabian André	1930.0	1930.0	C major	C	major	AABA	56.0	4/4	0.0	Ballad	b9df426d-c9d8-350e-8350-acf6500a2ea3	Q652821	mc0002493547	https://en.wikipedia.org/wiki/Dream_a_Little_Dream_of_Me	original song composed by Fabian Andre and Wilbur Schwandt with lyrics by Gus Kahn	Gus Kahn
308	dataset/jazz1350/Dream A Little Dream Of Me.xml	Dream A Little Dream Of Me	Dream A Little Dream Of Me [jazz1350]	jazz1350	Wilbur Schwandt	1930.0	1930.0	C major	C	major	AABA	56.0	4/4	0.0	Ballad	b9df426d-c9d8-350e-8350-acf6500a2ea3	Q652821	mc0002493547	https://en.wikipedia.org/wiki/Dream_a_Little_Dream_of_Me	original song composed by Fabian Andre and Wilbur Schwandt with lyrics by Gus Kahn	Gus Kahn
309	dataset/jazz1350/Dream Dancing.xml	Dream Dancing	Dream Dancing [jazz1350]	jazz1350	Cole Porter	1941.0	1941.0	C major	C	major	AABC	52.0	4/4	0.0	Medium Swing	90d828b3-d982-459f-bbd5-bb3cd7d1b5ce	Q5306351		https://en.wikipedia.org/wiki/Dream_Dancing_(Cole_Porter_song)	"original film song written and composed by Cole Porter; from the 1941 movie ""You'll Never Get Rich"""	Cole Porter
310	dataset/jazz1350/Dream.xml	Dream	Dream [jazz1350]	jazz1350	Johnny Mercer	1944.0	1944.0	Ab major	Ab	major	ABAB	32.0	4/4	-4.0	Slow Swing	28e4a2cb-f987-3745-9a87-f2163007beb4	Q5306268	mc0002419949	https://en.wikipedia.org/wiki/Dream_(1944_song)	original song written and composed by Johnny Mercer	Johnny Mercer
311	dataset/jazz1350/Dreamsville.xml	Dreamsville	Dreamsville [jazz1350]	jazz1350	Henry Mancini	1959.0	1959.0	C major	C	major	AABA	32.0	4/4	0.0	Ballad	96ef82bf-8557-3b7e-b644-7315153aeae9					Jay Livingston, Ray Evans
312	dataset/jazz1350/Driftin'.xml	Driftin'	Driftin' [jazz1350]	jazz1350	Herbie Hancock			Eb major	Eb	major	AABA	35.0	4/4	-3.0	Medium Swing	027a54fb-82c3-3d9f-9fc0-25d0c0df7984					
313	dataset/jazz1350/Duke, The.xml	Duke, The	Duke, The [jazz1350]	jazz1350	Dave Brubeck			C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	1acc402f-5074-3394-8317-7c7d98bb906c					
314	dataset/jazz1350/E.S.P..xml	E.S.P.	E.S.P. [jazz1350]	jazz1350	Wayne Shorter	1965.0	1965.0	F major	F	major	AA	32.0	4/4	-1.0	Up Tempo Swing	b9e58aae-7519-4676-96cd-f455285ff26b					Cassandra Wilson
315	dataset/jazz1350/Early Autumn.xml	Early Autumn	Early Autumn [jazz1350]	jazz1350	Ralph Burns	1949.0	1949.0	C major	C	major	AABA	32.0	4/4	0.0	Ballad	0a73522a-b9e0-3b4d-b923-8e88ed4ee863	Q1277506		https://en.wikipedia.org/wiki/Early_Autumn_(song)	song	Johnny Mercer
315	dataset/jazz1350/Early Autumn.xml	Early Autumn	Early Autumn [jazz1350]	jazz1350	Woody Herman	1949.0	1949.0	C major	C	major	AABA	32.0	4/4	0.0	Ballad	0a73522a-b9e0-3b4d-b923-8e88ed4ee863	Q1277506		https://en.wikipedia.org/wiki/Early_Autumn_(song)	song	Johnny Mercer
316	dataset/jazz1350/East Of The Sun.xml	East Of The Sun	East Of The Sun [jazz1350]	jazz1350	Brooks Bowman	1934.0	1934.0	G major	G	major	ABAC	36.0	4/4	1.0	Medium Swing	ee6a26ed-7f7f-4582-a820-287eab09a1e6	Q1278075		https://en.wikipedia.org/wiki/East_of_the_Sun_(and_West_of_the_Moon)	original song written and composed by Brooks Bowman	Brooks Bowman
317	dataset/jazz1350/Easy Living.xml	Easy Living	Easy Living [jazz1350]	jazz1350	Leo Robin	1937.0	1937.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	354a835d-311c-3c08-9333-73839acd8c59	Q5331143		https://en.wikipedia.org/wiki/Easy_Living_(song)	1937 song written by Ralph Rainger and Leo Robin	Leo Robin
317	dataset/jazz1350/Easy Living.xml	Easy Living	Easy Living [jazz1350]	jazz1350	Ralph Rainger	1937.0	1937.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	354a835d-311c-3c08-9333-73839acd8c59	Q5331143		https://en.wikipedia.org/wiki/Easy_Living_(song)	1937 song written by Ralph Rainger and Leo Robin	Leo Robin
318	dataset/jazz1350/Easy Street.xml	Easy Street	Easy Street [jazz1350]	jazz1350	Alan Rankin Jones	1941.0	1941.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Swing	c7ec418d-ed92-4d35-a82c-8acc21a6b79b	Q63195494		https://en.wikipedia.org/wiki/Easy_Street_(Alan_Rankin_Jones_song)	original song written and composed by Alan Rankin; 1940 jazz standard	Alan Rankin Jones
319	dataset/jazz1350/Easy To Love.xml	Easy To Love	Easy To Love [jazz1350]	jazz1350	Cole Porter	1936.0	1936.0	G major	G	major	ABAC	32.0	4/4	1.0	Medium Swing	dbf1bb20-9a8b-3909-81ae-493670ee0669	Q8056434	mc0002451704	https://en.wikipedia.org/wiki/You%27d_Be_So_Easy_to_Love	"original song written and composed by Cole Porter; from the 1936 film ""Born to Dance"""	Cole Porter
320	dataset/jazz1350/Eclypso.xml	Eclypso	Eclypso [jazz1350]	jazz1350	Tommy Flanagan	1991.0	1991.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Latin-Swing	5d40f2b0-29ea-4ab5-a278-896b81dea889					
321	dataset/jazz1350/Eiderdown.xml	Eiderdown	Eiderdown [jazz1350]	jazz1350	Steve Swallow			G minor	G	minor	AABCA	40.0	4/4	-2.0	Medium Swing	50e83a67-7d76-46b9-a7b0-0cd73e01d5f1					
322	dataset/jazz1350/Eighty One.xml	Eighty One	Eighty One [jazz1350]	jazz1350	Ron Carter	1965.0	1965.0	F major	F	major	A	12.0	4/4	-1.0	Even 8ths	3ee8db37-dadb-4b78-b71e-36347566cd0a					
323	dataset/jazz1350/El Cajon.xml	El Cajon	El Cajon [jazz1350]	jazz1350	Johnny Mandel			Eb major	Eb	major	ABAC	38.0	4/4	-3.0	Bossa Nova	5d73ec70-da08-4b55-a2e1-a907c6e80f04					
324	dataset/jazz1350/El Gaucho.xml	El Gaucho	El Gaucho [jazz1350]	jazz1350	Wayne Shorter	1968.0	1968.0	F major	F	major	A	18.0	4/4	-1.0	Bossa Nova	c205fe61-0c9c-397c-a7c2-b019fadcf3f2					
325	dataset/jazz1350/Elora.xml	Elora	Elora [jazz1350]	jazz1350	J.J. Johnson	1965.0	1965.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Swing						
326	dataset/jazz1350/Embraceable You.xml	Embraceable You	Embraceable You [jazz1350]	jazz1350	George Gershwin	1928.0	1928.0	G major	G	major	ABAC	32.0	4/4	1.0	Ballad	13869248-f36a-3fe0-a8bd-7c0d2793d8d9	Q753607	mc0002448869	https://en.wikipedia.org/wiki/Embraceable_You	original song composed by George Gershwin, words by Ira Gershwin	Ira Gershwin
327	dataset/jazz1350/Emily.xml	Emily	Emily [jazz1350]	jazz1350	Johnny Mandel	1964.0	1964.0	G major	G	major	ABAC	40.0	3/4	1.0	Waltz	e5951a28-d51c-3a0f-977e-e302f434babf					Johnny Mercer
328	dataset/jazz1350/End Of A Love Affair, The.xml	End Of A Love Affair, The	End Of A Love Affair, The [jazz1350]	jazz1350	Edward Redding	1950.0	1950.0	F major	F	major	AABAC	40.0	4/4	-1.0	Ballad	c239fd32-3569-330e-bd76-f2a4dee90b35					Edward Redding
329	dataset/jazz1350/Epilogue.xml	Epilogue	Epilogue [jazz1350]	jazz1350	Bill Evans	1965.0	1965.0	Eb major	Eb	major	A	16.0	4/4	-3.0	Medium Swing	74aa40a7-6ccf-487b-b0e2-b8fe5e6d1ee6					
